Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Manželství Marie Braunové,8/10/2020,16:30,8/10/2020,19:15,False,"Rainer Werner Fassbinder / NSR 1979 / 120 min. / 15 let / DCP
Po čtyřleté pauze se v roce 1978 sešli Rainer Werner Fassbinder a jeho múza Hanna Schygullová a za 35 dní natočili snímek, který patří k tomu nejlepšímu, co v Německu v 80. letech vzniklo. A navíc je to také komerčně nejúspěšnější Fassbinderův film.
https://www.csfd.cz/film/41537-manzelstvi-marie-braunove/prehled/
https://www.imdb.com/title/tt0079095/reference
https://program.lfs.cz/detail/?film=The-Marriage-of-Maria-Braun","Uherské Hradiště, Slovácké divadlo"
Horňácká cimbálová muzika Petra Mičky,8/8/2020,21:00,8/9/2020,0:00,False,"180 min.
Hudební projev a repertoár kapely vychází především z tradice hudební kultury Horňácka a navazuje na ni v co možná nejpravdivější podobě. Mimo tradičních folklorních a folkloristických příležitostí se muzika účastní nejrůznějších hudebních projektů.
https://program.lfs.cz/detail/?film=Hor%c5%88%c3%a1ck%c3%a1-cimb%c3%a1lov%c3%a1-muzika-Petra-Mi%c4%8dky","Uherské Hradiště, Dětský/literární stan"
Cinema16 A,8/8/2020,10:00,8/8/2020,11:23,False,"Francie, Itálie, Německo, Rakousko, Švédsko, Velká Británie / 73 min. / 15 let / DVD
Label Cinema16 přinesl divákům po celém světě ultimátní kolekci krátkých filmů klasiků evropské kinematografie (Godard, Švankmajer) i výrazných jmen současného filmu (Tykwer, Andersson). V rámci prvního bloku projdou diváci několika zeměmi, několika dekádami a seznámí se s možnostmi autorského přístupu k této specifické filmové formě.
https://program.lfs.cz/detail/?film=Cinema16-A","Uherské Hradiště, Kino Mír"
Divadlo Líšeň: Stínodílna,8/9/2020,15:00,8/9/2020,18:00,False,"180 min.
Sluneční stínohra je inspirována dávnými orientálními postupy, kdy se stínové divadlo hrálo během dne – obecenstvo sledovalo stíny vytvářené slunečním svitem v temné jeskyni. V naší sluneční stínohře místo jeskyně používáme zatemněný stan. Loutky si každý z nás vytvoří podle své fantazie. Dílna je vhodná pro všechny věkové kategorie.
https://program.lfs.cz/detail/?film=The-L%c3%ad%c5%a1e%c5%88-Theatre--Shadow-Play-(Workshop)","Uherské Hradiště, Dětský/literární stan"
3Bobule,8/9/2020,23:00,8/10/2020,0:41,False,"Martin Kopp / Česká republika 2020 / 101 min. / DCP
Druhé pokračování divácky úspěšné letní komedie Bobule přináší kromě poetické Pálavy a vinařské moudrosti i další dávku problémů a komplikací, které budou muset Kryštof Hádek a Lukáš Langmajer řešit. Ve hře je osud celého rodinného vinařství.
https://www.csfd.cz/film/747730-3bobule/prehled/
https://www.imdb.com/title/tt10657126/reference
https://program.lfs.cz/detail/?film=The-Grapes-3","Uherské Hradiště, Redside zóna Kolejní n."
Zátah 2,8/12/2020,23:30,8/13/2020,2:10,False,"Gareth Evans / Indonésie, USA 2014 / 150 min. / 18 let / DCP
Dodnes nepokořený milník akčního žánru ukazuje ideální symbiózu nápadité choreografie a stylově vytříbené režie. Strojená mafiánská epopej se organicky propadá do ambiciózně inscenovaných velkolepých akčních sekvencí, nad kterými údivně slintá i John Wick.
https://www.csfd.cz/film/307153-zatah-2/komentare/
https://www.imdb.com/title/tt2265171/reference
https://program.lfs.cz/detail/?film=The-Raid-2","Uherské Hradiště, Sportovní hala"
Cimbálová muzika Vinár,8/9/2020,21:00,8/10/2020,0:00,False,"180 min.
Cimbálová muzika Vinár vznikla na počátku tohoto milénia převážně z bývalých členů cimbálové muziky folklórního souboru Vlčnovjan. Při besedách u cimbálu se nechávají inspirovat okamžitou náladou publika a přáním svých posluchačů. Tak co si zazpíváme?
https://program.lfs.cz/detail/?film=Cimb%c3%a1lov%c3%a1-muzika-Vin%c3%a1r","Uherské Hradiště, Dětský/literární stan"
Pomsta,8/9/2020,9:00,8/9/2020,10:50,False,"Andrzej Wajda / Polsko 2002 / 100 min. / DVD
Filmovou adaptací divadelní hry Aleksandera Fredra Pomsta vzdal Andrzej Wajda hold divadlu. Komedie psaná ironickým stylem odhaluje ty charakterové vlastnosti Poláků, které je často dovedly do neštěstí. Roli zbabělého Papkina ztvárnil Roman Polański.
https://www.csfd.cz/film/35227-pomsta/komentare/
https://www.imdb.com/title/tt0314942/?ref_=nm_flmg_dr_11
https://program.lfs.cz/detail/?film=The-revenge","Uherské Hradiště, Kino Hvězda"
Anatomie atentátu,8/9/2020,16:00,8/9/2020,18:13,False,"Yaron Zilberman / Izrael 2019 / 123 min. / 15 let / DCP
Anatomie atentátu skládá fragmenty ze života vraha izraelského premiéra Jicchaka Rabina a vytváří procedurálně důkladný a vtahující portrét náboženské radikalizace, která pod rouškou ochrany vyšších ideálů neváhá zmařit lidský život.
https://www.csfd.cz/film/767174-yamim-noraim/prehled/
https://www.imdb.com/title/tt10122392/reference
https://program.lfs.cz/detail/?film=Incitement","Uherské Hradiště, Sportovní hala"
Až zařve lev: Ze zákulisí vzniku filmu,8/8/2020,17:30,8/8/2020,19:00,False,"90 min.
Poselství krále Přemysla II. Otakara a františkánského mnicha Odorika. Dvě velké postavy našich středověkých dějin, z nichž jedna je u nás téměř neznámá, zatímco druhá bývá zabalena do tradičních klišé. Dvojice osobností, které se spolu nikdy nepotkaly, a přesto ovlivnily nejen sebe navzájem, ale i životy budoucích generací. Zatímco poutník Odorik byl metaforicky ovocem královy politiky, Přemysl sám se stal její obětí.  
Režisér Jan E. Svatoš představí vznikající celovečerní dokumentární esej Až zařve lev. Součástí diashow bude i soutěž o ceny.
https://program.lfs.cz/detail/?film=When-the-Lion-Roars--Behind-the-Scene","Uherské Hradiště, Respekt stan"
