Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Tunelové krysy,8/2/2017,23:59,8/3/2017,1:52,False,"Uwe Boll / Německo, Kanada 2008 / 96 min. / 15 let / Blu-ray
https://www.csfd.cz/film/232208-tunnel-rats/prehled/
http://www.imdb.com/title/tt0970462/combined
https://program.lfs.cz/detail/?film=1968-Tunnel-Rats","Uherské Hradiště, Sportovní hala"
Tunelové krysy,8/5/2017,23:59,8/6/2017,1:52,False,"Uwe Boll / Německo, Kanada 2008 / 96 min. / 15 let / Blu-ray
https://www.csfd.cz/film/232208-tunnel-rats/prehled/
http://www.imdb.com/title/tt0970462/combined
https://program.lfs.cz/detail/?film=1968-Tunnel-Rats","Uherské Hradiště, Sportovní hala"
#naprvnípohled,7/28/2017,17:30,7/28/2017,19:10,False,"Dániel Tiszeker / Maďarsko 2016 / 90 min. / DCP
https://www.csfd.cz/film/508204-sohavegetnemeros/komentare/
http://www.imdb.com/title/tt6212476/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=%23atfirstsight","Uherské Hradiště, Klub kultury 1"
#justvertigothings,7/29/2017,22:00,7/30/2017,2:00,False,"240 min.
https://program.lfs.cz/detail/?film=%23justvertigothings","Uherské Hradiště, Divadelní stan"
491,7/30/2017,23:30,7/31/2017,1:19,False,"Vilgot Sjöman / Švédsko 1964 / 99 min. / 15 let / 35mm
https://www.csfd.cz/film/185113-491/prehled/
http://www.imdb.com/title/tt0057810/combined
https://program.lfs.cz/detail/?film=491","Uherské Hradiště, Reduta"
8 hlav šílenství,8/3/2017,21:00,8/3/2017,23:25,False,"Marta Nováková / Česká republika, Slovensko 2017 / 100 min. / 15 let / DCP
https://www.csfd.cz/film/261555-8-hlav-silenstvi/
http://www.imdb.com/title/tt3025774/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=8-Heads-of-Madness","Uherské Hradiště, Klub kultury 1"
Zevrubný pohled,8/1/2017,11:30,8/1/2017,12:59,False,"Yohanna Troell / Švédsko 2012 / 44 min. / HD file
https://program.lfs.cz/detail/?film=A-Close-Scrutiny","Uherské Hradiště, Reduta"
Stopa vede do Berlína,7/31/2017,9:00,7/31/2017,10:40,False,"František Čáp / 1952 / 90 min. / 35mm
https://www.csfd.cz/film/2086-stopa-vede-do-berlina/galerie/?type=1
http://www.imdb.com/title/tt0045185/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Adventure-in-Berlin","Uherské Hradiště, Reduta"
Stopa vede do Berlína,8/2/2017,23:30,8/3/2017,1:10,False,"František Čáp / 1952 / 90 min. / 35mm
https://www.csfd.cz/film/2086-stopa-vede-do-berlina/galerie/?type=1
http://www.imdb.com/title/tt0045185/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Adventure-in-Berlin","Uherské Hradiště, Reduta"
Mžitky,7/29/2017,11:30,7/29/2017,13:20,False,"Andrzej Wajda / Polsko 2016 / 100 min. / DCP
https://www.csfd.cz/film/423643-mzitky/prehled/
http://www.imdb.com/title/tt5186236/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Afterimage","Uherské Hradiště, Klub kultury 1"
Mžitky,8/5/2017,9:00,8/5/2017,10:50,False,"Andrzej Wajda / Polsko 2016 / 100 min. / DCP
https://www.csfd.cz/film/423643-mzitky/prehled/
http://www.imdb.com/title/tt5186236/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Afterimage","Uherské Hradiště, Klub kultury 1"
Odpoledne,7/29/2017,9:30,7/29/2017,11:17,False,"Angela Schanelec / Německo 2007 / 97 min. / 35mm
https://www.csfd.cz/film/242600-odpoledne/
http://www.imdb.com/title/tt0856804/?ref_=nm_flmg_act_3
https://program.lfs.cz/detail/?film=Afternoon","Uherské Hradiště, Sportovní hala"
Odpoledne,8/2/2017,15:00,8/2/2017,17:22,False,"Angela Schanelec / Německo 2007 / 97 min. / 35mm
https://www.csfd.cz/film/242600-odpoledne/
http://www.imdb.com/title/tt0856804/?ref_=nm_flmg_act_3
https://program.lfs.cz/detail/?film=Afternoon","Uherské Hradiště, Reduta"
