Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Bacurau,30/07/2023,20:15,30/07/2023,22:37,False,"Kleber Mendonça Filho, Juliano Dornelles / Brazílie, Francie 2019 / 132 min. / 18 let / DCP
Lehce psychedelický western z blízké budoucnosti s prvky mystiky, sci-fi i splatteru. Městečko Bacurau nacházející se v divokém vnitrozemí jednoho dne záhadně zmizí z mapy světa. Sled napínavých událostí začíná. Obyvatelé, kteří tvoří autonomní společenství, jsou připraveni čelit čemukoliv.
https://www.csfd.cz/film/522211-bacurau/recenze/
https://www.imdb.com/title/tt2762506/reference
https://program.lfs.cz/detail/?film=Bacurau","Uherské Hradiště, Klub kultury - Velký sál"
Horňácká muzika Petra Mičky,02/08/2023,19:00,03/08/2023,0:00,False,"300 min.
Horňácká muzika Petra Mičky působí na moravské folklorní scéně už více než 20 let. Za dobu své existence prošla výrazným vývojem a stala se uznávanou kapelou jak z hlediska tradičního folklorního pojetí, tak z hlediska přístupu k nejrůznějším přesahům.
https://program.lfs.cz/detail/?film=Petr-Mi%c4%8dka%e2%80%99s-Dulcimer-Band","Uherské Hradiště, Vinný stan Smetanovy sady"
"Workshop k filmu Titina, psí polárnice",30/07/2023,16:50,30/07/2023,17:50,False,"60 min.
Vydej se po naučné stezce za polárníkem Amundsenem a namaluj si vzducholoď plující do země fantazie. Výtvarně-vědomostní workshop, vhodné pro děti od 6 let.
https://program.lfs.cz/detail/?film=Workshop--Titina","Uherské Hradiště, Dětský/herní stan"
Interview (ČRo Plus),01/08/2023,11:30,01/08/2023,12:30,False,"60 min.
Natočit český film může trvat několik let, dobu prodlužuje především shánění prostředků. Dva režiséři tak dlouho čekat nechtěli a rozhodli se pro netradiční postup. Jak se v Česku filmařům tvoří a žije? Moderátor Jan Bumba se zeptá Jana Vejnara, jednoho z režisérů nového snímku Přišla v noci.
https://program.lfs.cz/detail/?film=Interview-(Czech-Radio-Plus)","Uherské Hradiště, Stan ČRo"
Prezidentské okamžiky,01/08/2023,17:00,01/08/2023,17:30,False,"30 min.
Letos uplyne 105 let od chvíle, kdy na Pražském hradě vystřídali dědičné panovníky prezidenti. U příležitosti výročí vzniku Československa připravila ČTK ze svého bohatého fotoarchivu venkovní výstavu zachycující 12 československých a českých prezidentů nejen v oficiálních situacích, ale i v méně formálních okamžicích.
https://program.lfs.cz/detail/?film=Presidential-Moments","Uherské Hradiště, Palackého náměstí"
Byl jen jeden takový filmař: známý i neznámý Jerzy Kawalerowicz,31/07/2023,15:00,31/07/2023,16:30,False,"90 min.
Pokud jste si mysleli, že o Jerzym Kawalerowiczovi víte už poměrně hodně, pak si přijďte poslechnout přednášku Macieje Gila. Jistě vás přesvědčí o opaku. Vždyť ne všem jeho filmům byla věnovaná zasloužená pozornost. Jeho intimní, na svou dobu velmi odvážné a otevřené drama Hra (1969) zná jen málokdo. Stejně jako jeho tvorbu z období socialistického realismu, která byla předzvěstí nástupu polské filmové školy. A možná vás překvapí i to, že Kawalerowicz mluvil od mládí česky.
https://program.lfs.cz/detail/?film=None-Like-Him--Known-and-Unknown-Jerzy-Kawalerowicz","Uherské Hradiště, Klub kultury - Malý sál"
Workshop: Znovunalezená animace,31/07/2023,14:00,31/07/2023,16:00,False,"120 min.
Ponořte své ruce do vody, tuše nebo písku a vytvořte během okamžiku nevšední podívanou. Je na vás, jak moc popustíte uzdu fantazii a zda se zaměříte na čistě obrazovou show geometrických obrazců nebo natočíte krátký film s kávou a luštěninou v hlavní roli. Během workshopu vás seznámíme s experimentální animací, vyzkoušíte si její možnosti a domů si odnesete svůj vlastní film! Věk: 8+
https://program.lfs.cz/detail/?film=Workshop--Rediscovered-Animation","Uherské Hradiště, Hub 123"
Íá,28/07/2023,13:30,28/07/2023,15:08,False,"IO / Jerzy Skolimowski / Polsko, Itálie 2022 / 88 min. / 15 let / DCP
Environmentální bajka Jerzyho Skolimowského zachycuje odyseu osla putujícího z Polska do Itálie. Během cesty plní různé role a setkává se s lidskou laskavostí i krutostí. Režisér se vrátil k režii po sedmi letech a za inovativní filmový jazyk a tematickou bohatost získal Cenu poroty v Cannes a nominaci na Oscara.
https://www.csfd.cz/film/1170267-ia/prehled/
https://www.imdb.com/title/tt19652910/?ref_=nm_flmg_t_1_wr
https://program.lfs.cz/detail/?film=EO","Uherské Hradiště, Sportovní hala"
Íá,31/07/2023,23:00,01/08/2023,0:38,False,"IO / Jerzy Skolimowski / Polsko, Itálie 2022 / 88 min. / 15 let / DCP
Environmentální bajka Jerzyho Skolimowského zachycuje odyseu osla putujícího z Polska do Itálie. Během cesty plní různé role a setkává se s lidskou laskavostí i krutostí. Režisér se vrátil k režii po sedmi letech a za inovativní filmový jazyk a tematickou bohatost získal Cenu poroty v Cannes a nominaci na Oscara.
https://www.csfd.cz/film/1170267-ia/prehled/
https://www.imdb.com/title/tt19652910/?ref_=nm_flmg_t_1_wr
https://program.lfs.cz/detail/?film=EO","Uherské Hradiště, Sportovní hala"
Slam poetry exhibice,29/07/2023,20:45,29/07/2023,22:45,False,"120 min.

https://program.lfs.cz/detail/?film=The-SFS-Poetry-Slam","Uherské Hradiště, Respekt stan"
Večer deskových her s MINDOK,29/07/2023,18:30,29/07/2023,22:30,False,"240 min.
Každý večer se Dětský stan promění v herní zónu pro dospělé. Večírky s Chytrým kvízem budou střídat herní seance pro začátečníky i pokročilé hráče. Výběr nejlepších deskových her přiveze partner doprovodného herního programu, vydavatelství MINDOK.
https://program.lfs.cz/detail/?film=MINDOK-Board-Games","Uherské Hradiště, Dětský/herní stan"
Večer deskových her s MINDOK,31/07/2023,18:30,31/07/2023,22:30,False,"240 min.
Každý večer se Dětský stan promění v herní zónu pro dospělé. Večírky s Chytrým kvízem budou střídat herní seance pro začátečníky i pokročilé hráče. Výběr nejlepších deskových her přiveze partner doprovodného herního programu, vydavatelství MINDOK.
https://program.lfs.cz/detail/?film=MINDOK-Board-Games","Uherské Hradiště, Dětský/herní stan"
