Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Bylo nebylo: Letní filmová škola,30/07/2024,16:00,30/07/2024,17:30,False,"90 min.
Letní filmová škola slaví 50. narozeniny, byly ovšem doby, kdy se velmi lišila od festivalu, jak ho známe dnes. O akci pro zástupce filmových klubů, její podobě, lidech, kteří ji vymysleli, a ošidných hrátkách doby bude se svými hosty a pamětníky diskutovat ředitelka Letní filmové školy Radana Korená.
https://program.lfs.cz/detail/?film=Once-Upon-a-Time-at-Summer-Film-School","Uherské Hradiště, Respekt stan"
Slavnostní zakončení + Vlny,31/07/2024,19:00,31/07/2024,22:41,False,"Vlny / Jiří Mádl / Česká republika, Slovensko 2024 / 131 min. / DCP
Redakce mezinárodního života Československého rozhlasu představuje na podzim 1967 společenství mimořádně schopných a odvážných lidí, kteří chtějí zemi zbavit cenzury. Zdá se ale, že mezi sebou mají zrádce, který donáší Státní bezpečnostní. Dynamický thriller plný dobových hitů o tom, že boj za svobodu a demokracii je věčný. Účast možná pouze se vstupenkou.
https://program.lfs.cz/detail/?film=Closing-Ceremony-%2b-Waves","Uherské Hradiště, Kino Hvězda"
Comeback Talk,30/07/2024,14:30,30/07/2024,16:00,False,"90 min.
Čtyři známí režiséři se vracejí na Letní filmovou školu. Jak vidí zpětně svoje začátky a co by dnes poradili začínajícím filmařům? Co považují za svůj největší filmařský fuckup? Na jaký svůj film jsou naopak nejvíc pyšní? O jakém tématu sní a nezpracovali ho? Čtyři různorodé filmařské osobnosti Fridrik Thór Fridriksson, Mohsen Makhmalbaf, Sean Ellis a Peter Strickland ve společném „Comeback Talku“, který bude moderovat Pavel Sladký.
https://program.lfs.cz/detail/?film=Comeback-Talk","Uherské Hradiště, Klub kultury - Malý sál"
Na Chesilské pláži,27/07/2024,12:30,27/07/2024,14:35,False,"On Chesil Beach / Dominic Cooke / Velká Británie 2017 / 110 min. / 15 let / HD file
Emocionálně dravá intimní romance o názorové konfrontaci mladých novomanželů během a po jejich svatební noci vyšla ze stejnojmenného románu britského spisovatele Iana McEwana. Celovečerní debut významného divadelního režiséra Dominica Cookea nabízí narativní mozaiku střípků vzpomínek na jeden vztah.
https://www.csfd.cz/film/282507-na-chesilske-plazi/recenze/
https://www.imdb.com/title/tt1667321/reference
https://program.lfs.cz/detail/?film=On-Chesil-Beach","Uherské Hradiště, Kino Mír"
Na Chesilské pláži,31/07/2024,18:00,31/07/2024,20:05,False,"On Chesil Beach / Dominic Cooke / Velká Británie 2017 / 110 min. / 15 let / HD file
Emocionálně dravá intimní romance o názorové konfrontaci mladých novomanželů během a po jejich svatební noci vyšla ze stejnojmenného románu britského spisovatele Iana McEwana. Celovečerní debut významného divadelního režiséra Dominica Cookea nabízí narativní mozaiku střípků vzpomínek na jeden vztah.
https://www.csfd.cz/film/282507-na-chesilske-plazi/recenze/
https://www.imdb.com/title/tt1667321/reference
https://program.lfs.cz/detail/?film=On-Chesil-Beach","Uherské Hradiště, Kino Mír"
"Omlatina: Bárt, Massalema, Wawracz",30/07/2024,19:30,30/07/2024,20:30,False,"60 min.
Omlatina je platforma autorských čtení. Mladí básníci a básnířky z Česka i zahraničí. Poezie, hudba i perfo. Pravidelně v Praze, Brně, Ostravě a Olomouci.
https://program.lfs.cz/detail/?film=Omlatina--B%c3%a1rt%2c-Massalema%2c-Wawracz","Uherské Hradiště, Stan literatury/Nové reality"
Ukradená vzducholoď,28/07/2024,21:30,28/07/2024,23:13,False,"Karel Zeman / ČSSR 1966 / 88 min. / HD file
Z jubilejní výstavy v roce 1891 vzducholodí až na exotický ostrov uprostřed oceánu. To je ve zkratce napínavé dobrodružství pěti pražských kluků ve filmu Ukradená vzducholoď, který je oslavou dětské svobody, vědecko-technického pokroku a také kritikou vypočítavého světa dospělých plného sobectví a korupce.
https://www.csfd.cz/film/10123-ukradena-vzducholod/prehled/
https://www.imdb.com/title/tt0062412/reference
https://program.lfs.cz/detail/?film=The-Stolen-Airship","Uherské Hradiště, Letní kino Smetanovy sady"
Bláznova kronika,29/07/2024,21:30,29/07/2024,23:07,False,"Karel Zeman / ČSSR 1964 / 82 min. / HD file
Bláznová kronika patří k méně proslulým Zemanovým filmům. Jakkoliv zaznamenala značný mezinárodní úspěch, do paměti diváků se nezapsala tak silně jako Baron Prášil či Vynález zkázy. Krom jiného se zdá, že za to může i střet koncepcí, dvou zcela rozdílných autorských světů při jeho přípravě.
https://www.csfd.cz/film/10100-blaznova-kronika/prehled/
https://www.imdb.com/title/tt0057894/reference
https://program.lfs.cz/detail/?film=A-Jester%27s-Tale","Uherské Hradiště, Letní kino Smetanovy sady"
Podivuhodné příběhy,31/07/2024,13:30,31/07/2024,15:46,False,"Histoires extraordinaires / (I) Roger Vadim, (II) Louis Malle, (III) Federico Fellini / Francie, Itálie 1968 / 121 min. / DCP
Adaptace tří povídek E. A. Poea nese nezaměnitelné rukopisy režisérů Rogera Vadima, Louise Mallea a Federika Felliniho. Surrealistická zápletka třetí z nich líčí příběh ztroskotaného anglického herce, jenž má v Římě natáčet film, zjevuje se mu ale Ďábel v podobě dívenky s bílým balónem.
https://www.csfd.cz/film/116446-podivuhodne-pribehy/prehled/
https://www.imdb.com/title/tt0063715/?ref_=fn_al_tt_4
https://program.lfs.cz/detail/?film=Spirits-of-the-Dead","Uherské Hradiště, Orlovna"
"Slavnostní zahájení + Hello, Welcome",27/07/2024,19:00,27/07/2024,21:55,False,"Hello, Welcome / Šimon Holý / Česká republika 2024 / 85 min. / DCP
Je jim přes třicet, všechny tři jsou herečky a všechny touží posunout svoji kariéru. Mezinárodní filmový festival v Karlových Varech má být ta správná příležitost. Jenže věci se nevyvíjejí, jak mají, a do ohrožení se dostává i jejich přátelství. Režisér Šimon Holý uzavírá svou trilogii o ženách na pokraji změny. Účast možná pouze se vstupenkou.
https://program.lfs.cz/detail/?film=Opening-Ceremony-%2b-Hello%2c-Welcome","Uherské Hradiště, Kino Hvězda"
Investigativa ve veřejném zájmu,30/07/2024,15:30,30/07/2024,16:30,False,"60 min.
Investigativní reportéři Radiožurnálu na svých posledních kauzách předvedou, jak vypadá jejich práce. Jak vzniká reportáž, na jejímž konci mohou skončit někteří aktéři v policejních poutech? Vystoupí: Artur Janoušek, Antonín Viktora, Jakub Mikel.
https://program.lfs.cz/detail/?film=Investigative-Work-in-Public-Interest","Uherské Hradiště, Stan ČRo"
FAMU Films History: Pod pláštěm normalizace (kinolektorát),29/07/2024,12:30,29/07/2024,13:55,False,"85 min. / HD file
V průběhu 80. let se i na znormalizované FAMU začaly projevovat určité tendence ve filmech, které měly velmi pozitivní vliv nejen na tvůrce, ale posléze také na československou kinematografii. Začali se prosazovat noví mladí tvůrci, kteří se nebáli žánrového filmu, ale také absurdních komedií. V rámci kinolektorátu si představíme čtyři z nich.
https://program.lfs.cz/detail/?film=FAMU-Films-History--Under-the-cloak-of-normalization-(cinema-lecture)","Uherské Hradiště, Kino Mír"
Anthropoid,31/07/2024,14:00,31/07/2024,17:01,False,"Sean Ellis / Velká Británie, Česká republika, Francie 2016 / 121 min. / 15 let / DCP
Parašutisté Jan Kubiš a Josef Gabčík ožívají v další inkarnaci stěžejní vojenské operace s cílem zlikvidovat zastupujícího říšského protektora Reinharda Heydricha. Čerstvý výherce Oscara Cillian Murphy a Jamie Dornan ve svých rolích zkoumají otázku hrdinství, které si však vybírá vysokou daň – lidské životy.
https://www.csfd.cz/film/405971-anthropoid/prehled/
http://www.imdb.com/title/tt4190530/combined
https://program.lfs.cz/detail/?film=Anthropoid","Uherské Hradiště, Sportovní hala"
