Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
"100 let českých dějin, 100 let jejich filmových obrazů",7/30/2018,17:30,7/30/2018,19:00,False,"90 min.
https://program.lfs.cz/detail/?film=100-Years-of-Czech-History%2c-100-Years-of-Its-Film-Images","Uherské Hradiště, Klub kultury 2"
Dvanáct rozhněvaných mužů,7/28/2018,8:30,7/28/2018,10:16,False,"Sidney Lumet / USA 1957 / 96 min. / Blu-ray
https://www.csfd.cz/film/6178-dvanact-rozhnevanych-muzu/prehled/
https://www.imdb.com/title/tt0050083/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=12-Angry-Men","Uherské Hradiště, Kino Hvězda"
Dvanáct rozhněvaných mužů,7/31/2018,11:00,7/31/2018,12:46,False,"Sidney Lumet / USA 1957 / 96 min. / Blu-ray
https://www.csfd.cz/film/6178-dvanact-rozhnevanych-muzu/prehled/
https://www.imdb.com/title/tt0050083/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=12-Angry-Men","Uherské Hradiště, Kino Hvězda"
30 let s Ingmarem Bergmanem,8/1/2018,15:30,8/1/2018,17:00,False,"90 min.
https://program.lfs.cz/detail/?film=30-Years-with-Ingmar-Bergman","Uherské Hradiště, Klub kultury 2"
3 dny v Quiberonu,7/27/2018,20:30,7/27/2018,22:35,False,"Emily Atefová / Německo, Rakousko, Francie 2018 / 115 min. / DCP
https://www.csfd.cz/film/592188-3-tage-in-quiberon/prehled/
https://www.imdb.com/title/tt6463494/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=3-Days-in-Quiberon","Uherské Hradiště, Slovácké divadlo"
Adaptace,7/28/2018,14:00,7/28/2018,15:30,False,"90 min.
https://program.lfs.cz/detail/?film=Adaptace","Uherské Hradiště, Stan ČT"
Mrtvý mezi živými,7/27/2018,17:30,7/27/2018,19:07,False,"Bořivoj Zeman / Československo 1946 / 87 min. / 35mm
https://www.csfd.cz/film/10092-mrtvy-mezi-zivymi/prehled/
https://www.imdb.com/title/tt0194183/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=A-Dead-Man-Among-the-Living","Uherské Hradiště, Reduta 1"
Po zkoušce,7/29/2018,17:30,7/29/2018,18:50,False,"Ingmar Bergman / Švédsko 1984 / 70 min. / Blu-ray
https://www.imdb.com/title/tt0087193/
https://program.lfs.cz/detail/?film=After-the-Rehersal","Uherské Hradiště, Reduta 1"
Po zkoušce,8/4/2018,23:30,8/5/2018,0:50,False,"Ingmar Bergman / Švédsko 1984 / 70 min. / Blu-ray
https://www.imdb.com/title/tt0087193/
https://program.lfs.cz/detail/?film=After-the-Rehersal","Uherské Hradiště, Slovácké divadlo"
Srdce lásky,7/28/2018,9:00,7/28/2018,10:28,False,"Lukasz Ronduda / Polsko 2017 / 78 min. / 15 let / DCP
https://www.csfd.cz/film/484424-srdce-lasky/prehled/
https://www.imdb.com/title/tt6874488/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=A-Heart-of-Love","Uherské Hradiště, Klub kultury 1"
Srdce lásky,7/30/2018,23:30,7/31/2018,0:58,False,"Lukasz Ronduda / Polsko 2017 / 78 min. / 15 let / DCP
https://www.csfd.cz/film/484424-srdce-lasky/prehled/
https://www.imdb.com/title/tt6874488/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=A-Heart-of-Love","Uherské Hradiště, Slovácké divadlo"
"Alchymie filmového materiálu: Střihej, zakládej, promítej!",8/2/2018,15:30,8/2/2018,17:00,False,"90 min.
https://program.lfs.cz/detail/?film=Alchemy-of-Film-Materials--Edit%2c-Load-and-Screen!","Uherské Hradiště, Reduta 3"
Alfons Karásek v lázních,7/30/2018,20:00,7/30/2018,21:25,False,"Zdeněk Podskalský / Československo 1971 / 45 min.
https://program.lfs.cz/detail/?film=Alfons-Kar%c3%a1sek-v-l%c3%a1zn%c3%adch","Uherské Hradiště, Stan ČT"
"Alfred Hitchcock uvádí (Kolaps, Tajemství pana Blancharda, Dokonalý zločin)",7/29/2018,15:30,7/29/2018,16:58,False,"Alfred Hitchcock / USA 1955 / 78 min. / 15 let / HD file
https://www.csfd.cz/film/68873-zadano-pro-alfreda-hitchcocka/prehled/
https://www.imdb.com/title/tt0047708/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Alfred-Hitchcock-Presents-(Breakdown%2c-Mr-Blanchard%c2%b4s-Secret%2c-The-Perfect-Crime)","Uherské Hradiště, Sportovní hala"
All That Jazz,7/31/2018,17:00,7/31/2018,19:13,False,"Bob Fosse / USA 1979 / 123 min. / 15 let / DCP
https://www.csfd.cz/film/2988-all-that-jazz/prehled/
https://www.imdb.com/title/tt0078754/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=All-That-Jazz","Uherské Hradiště, Kino Hvězda"
Alpy,7/30/2018,11:00,7/30/2018,12:39,False,"Yorgos Lanthimos / Řecko 2011 / 89 min. / 15 let / 35mm
https://www.csfd.cz/film/294272-alpy/prehled/
https://www.imdb.com/title/tt1859446/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Alps","Uherské Hradiště, Kino Hvězda"
Alpy,8/3/2018,14:00,8/3/2018,15:39,False,"Yorgos Lanthimos / Řecko 2011 / 89 min. / 15 let / 35mm
https://www.csfd.cz/film/294272-alpy/prehled/
https://www.imdb.com/title/tt1859446/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Alps","Uherské Hradiště, Kino Mír"
A dýchejte klidně,8/2/2018,17:00,8/2/2018,18:45,False,"Isold Uggadottirová / Island, Švédsko, Belgie 2018 / 95 min. / DCP
https://www.csfd.cz/film/585894-a-dychejte-klidne/prehled/
https://www.imdb.com/title/tt6776106/?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=And-Breathe-Normally","Uherské Hradiště, Kino Hvězda"
